"Student ID","Subject Code",Grade
20240011,"GEC 01",1.00
20240011,"GEC 02",1.50
20240011,"REL 01",1.25
20240011,"NCM 100",1.00
20240011,"BIO 101",1.50
20240011,"CHEM 101",1.25
20240011,"GEC 03",1.50
20240011,"PE 101",1.00
20240011,"GE 04",1.25
20240011,"GEC 06",1.00
20240011,"NCM 101",1.50
20240011,"NPS 01",1.25
20240011,"NCM 102",1.00
20240011,"BIO 102",1.50
20240011,"GE 05",1.25
20240011,"PE 102",1.50
20240011,"REL 02",1.50
20240012,FIL1,1.25
20240012,GE9,1.75
20240012,GE10,1.50
20240012,PoS3,1.25
20240012,PoSIE1,1.75
20240012,PATHFIT3,1.50
20240012,"REL 3",2.25
20240012,FIL2,1.25
20240012,LIT1,1.75
20240012,PoS4,1.50
20240012,PoSE1,1.25
20240012,PoSIE2,1.75
20240012,PATHFIT4,1.75
20240013,GE9,1.25
20240013,PROFED7,1.75
20240013,EL13,1.50
20240013,EL14,1.25
20240013,EL15,1.75
20240013,EL16,1.50
20240013,EL17,1.25
20240013,PROFED9,1.25
20240013,PROFED10,1.75
20240013,EL18,1.50
20240013,EL19,1.25
20240013,EL20,1.75
20240013,ELC1,1.50
20240013,"GE EL3",1.75
20240013,"EI 20",1.25
20240013,ELC2,1.50
20240014,GE1,1.50
20240014,GE2,2.00
20240014,GE3,1.75
20240014,GE4,1.50
20240014,ELEM1,2.00
20240014,ELEM2,1.75
20240014,PROFED1,2.00
20240014,PATHFIT1,1.50
20240014,NSTP1,1.50
20240014,"REL 1",2.00
20240014,HUMSS1,1.75
20240014,"ENG 1",1.75
20240014,GE5,1.50
20240014,GE6,2.00
20240014,GE7,1.75
20240014,GE8,1.50
20240014,ELEM3,2.00
20240014,ELEM4,1.75
20240014,PROFED2,2.00
20240014,PATHFIT2,1.50
20240014,NSTP2,1.50
20240014,REL2,2.00
20240014,HUMSS2,1.75
20240014,"ENG 2",1.25
20240015,PoS9,1.75
20240015,PoSE4,2.25
20240015,PoSE5,2.00
20240015,RES2,2.50
20240015,PoSC10,1.75
20240016,CC104,1.25
20240016,PF101,1.75
20240016,PT101,1.50
20240016,GE3,1.25
20240016,GE6,1.75
20240016,GE(Elec2),1.50
20240016,Rel3+,1.75
20240016,PATHFit3,1.25
20240016,CC105,1.25
20240016,MS102,1.75
20240016,NET101,1.50
20240016,IPT101,1.25
20240016,GE7,1.75
20240016,GE8,1.50
20240016,GE(Elec3),1.75
20240016,PATHFit4,1.00
20240017,GE1,1.00
20240017,GE2,1.50
20240017,GE3,1.25
20240017,GE4,1.00
20240017,ELEM1,1.50
20240017,ELEM2,1.25
20240017,PROFED1,1.50
20240017,PATHFIT1,1.00
20240017,NSTP1,1.00
20240017,"REL 1",1.50
20240017,HUMSS1,1.25
20240017,"ENG 1",1.75
20240017,GE5,1.00
20240017,GE6,1.50
20240017,GE7,1.25
20240017,GE8,1.00
20240017,ELEM3,1.50
20240017,ELEM4,1.25
20240017,PROFED2,1.50
20240017,PATHFIT2,1.00
20240017,NSTP2,1.00
20240017,REL2,1.50
20240017,HUMSS2,1.25
20240017,"ENG 2",1.25
20240018,CBMEC1,2.00
20240018,"BA Core5",2.50
20240018,"BA Core6",2.25
20240018,Prof3-HRDM47,2.00
20240018,Prof4-HRDM51,2.50
20240018,Elec2-Mgt49,2.25
20240018,"BA Core7",2.50
20240018,Elec3-Mgt46,2.00
20240018,Prof5-HRDM42,2.50
20240018,Prof6-HRDM44,2.25
20240018,Prof7-HRDM60,2.00
20240018,"BA Inst 2",2.25
20240019,"AE 25",1.50
20240019,"AE 26",2.00
20240019,"AE 1a",2.00
20240019,"CBME 2",1.75
20240019,"AE 27",2.25
20240019,"ELEC 3",2.00
20240019,"ELEC 4",1.75
20240019,"GE 10",2.25
20240019,"GE 11",2.00
20240019,"GE 12",2.25
20240019,"AE 1b",5.00
20240020,FIL,1.25
20240020,PROFED3,1.75
20240020,PROFED4,1.50
20240020,PROFED5,1.25
20240020,EL4,1.75
20240020,EL5,1.50
20240020,EL6,1.75
20240020,EL7,1.25
20240020,EL8,1.25
20240020,PATHFIT3,1.75
20240020,"REL 3",1.00
20240020,"GE EL1",1.25
20240020,PROFED6,1.75
20240020,PROFED8,1.50
20240020,EL9,1.25
20240020,EL10,1.75
20240020,EL11,1.50
20240020,EL12,1.75
20240020,PATHFIT4,1.00
