"Student ID",Grades
20240011,"GEC 01:1.00; GEC 02:1.50; REL 01:1.25; NCM 100:1.00; BIO 101:1.50; CHEM 101:1.25; GEC 03:1.50; PE 101:1.00; GE 04:1.25; GEC 06:1.00; NCM 101:1.50; NPS 01:1.25; NCM 102:1.00; BIO 102:1.50; GE 05:1.25; PE 102:1.50; REL 02:1.50"
20240012,"FIL1:1.25; GE9:1.75; GE10:1.50; PoS3:1.25; PoSIE1:1.75; PATHFIT3:1.50; REL 3:2.25; FIL2:1.25; LIT1:1.75; PoS4:1.50; PoSE1:1.25; PoSIE2:1.75; PATHFIT4:1.75"
20240013,"GE9:1.25; PROFED7:1.75; EL13:1.50; EL14:1.25; EL15:1.75; EL16:1.50; EL17:1.25; PROFED9:1.25; PROFED10:1.75; EL18:1.50; EL19:1.25; EL20:1.75; ELC1:1.50; GE EL3:1.75; EI 20:1.25; ELC2:1.50"
20240014,"GE1:1.50; GE2:2.00; GE3:1.75; GE4:1.50; ELEM1:2.00; ELEM2:1.75; PROFED1:2.00; PATHFIT1:1.50; NSTP1:1.50; REL 1:2.00; HUMSS1:1.75; ENG 1:1.75; GE5:1.50; GE6:2.00; GE7:1.75; GE8:1.50; ELEM3:2.00; ELEM4:1.75; PROFED2:2.00; PATHFIT2:1.50; NSTP2:1.50; REL2:2.00; HUMSS2:1.75; ENG 2:1.25"
20240015,"PoS9:1.75; PoSE4:2.25; PoSE5:2.00; RES2:2.50; PoSC10:1.75"
20240016,"CC104:1.25; PF101:1.75; PT101:1.50; GE3:1.25; GE6:1.75; GE(Elec2):1.50; Rel3+:1.75; PATHFit3:1.25; CC105:1.25; MS102:1.75; NET101:1.50; IPT101:1.25; GE7:1.75; GE8:1.50; GE(Elec3):1.75; PATHFit4:1.00"
20240017,"GE1:1.00; GE2:1.50; GE3:1.25; GE4:1.00; ELEM1:1.50; ELEM2:1.25; PROFED1:1.50; PATHFIT1:1.00; NSTP1:1.00; REL 1:1.50; HUMSS1:1.25; ENG 1:1.75; GE5:1.00; GE6:1.50; GE7:1.25; GE8:1.00; ELEM3:1.50; ELEM4:1.25; PROFED2:1.50; PATHFIT2:1.00; NSTP2:1.00; REL2:1.50; HUMSS2:1.25; ENG 2:1.25"
20240018,"CBMEC1:2.00; BA Core5:2.50; BA Core6:2.25; Prof3-HRDM47:2.00; Prof4-HRDM51:2.50; Elec2-Mgt49:2.25; BA Core7:2.50; Elec3-Mgt46:2.00; Prof5-HRDM42:2.50; Prof6-HRDM44:2.25; Prof7-HRDM60:2.00; BA Inst 2:2.25"
20240019,"AE 25:1.50; AE 26:2.00; AE 1a:2.00; CBME 2:1.75; AE 27:2.25; ELEC 3:2.00; ELEC 4:1.75; GE 10:2.25; GE 11:2.00; GE 12:2.25; AE 1b:5.00"
20240020,"FIL:1.25; PROFED3:1.75; PROFED4:1.50; PROFED5:1.25; EL4:1.75; EL5:1.50; EL6:1.75; EL7:1.25; EL8:1.25; PATHFIT3:1.75; REL 3:1.00; GE EL1:1.25; PROFED6:1.75; PROFED8:1.50; EL9:1.25; EL10:1.75; EL11:1.50; EL12:1.75; PATHFIT4:1.00"
