Student ID,Enrollment Status,School Year,Program,Year Level
20240011,Enrolled,2026-2027,BS Information Technology,1st Year
20240012,Not Enrolled,2026-2027,BS Nursing,2nd Year
20240013,Enrolled,2026-2027,BS Accountancy,3rd Year
20240014,Enrolled,2026-2027,BS Business Administration,1st Year
20240015,Not Enrolled,2026-2027,BS Criminology,4th Year
20240016,Enrolled,2026-2027,BS Computer Science,2nd Year
20240017,Enrolled,2026-2027,BS Education,1st Year
20240018,Not Enrolled,2026-2027,BS Hospitality Management,3rd Year
20240019,Enrolled,2026-2027,BS Information Technology,4th Year
20240020,Enrolled,2026-2027,BS Social Work,2nd Year
